id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,payant,gratuit,date,tags,description
3003201,1754343,Musée Municipal de la Vignasse,,Rue de la Grille,30300,Beaucaire,France,fr,open,43.807104499999994,4.645857409267913,,,,2014,1692,3240,01/02/2003,label:musee de france,
3403201,,Musée des Beaux-Arts de Béziers,,,,BEZIERS,France,fr,open,,,,,,2014,3521,19953,01/02/2003,label:musee de france,
3403203,70070,Muséum d'Histoire Naturelle,,,34500,Béziers,France,fr,closed,43.3426562,3.2131307,,,,2014,0,0,01/02/2003,label:musee de france,
3417203,1226892,Musée Fabre,,Cour de la Mosaïque,34062,Montpellier,France,fr,open,43.6117542,3.8801274326001858,,,,2014,124382,92437,06/01/2002,label:musee de france,
3417206,2192962,Agropolis-Muséum,,Avenue Agropolis,34093,Montpellier,France,fr,closed,43.6462942,3.8679405365376005,,,,2014,0,0,01/02/2003,label:musee de france,
3417901,239313434,Musée Archéologique Paul Soyris,,Rue de la Mairie,34570,Murviel-lès-Montpellier,France,fr,open,43.604634,3.737293733606559,,,,2014,117,332,01/02/2003,label:musee de france,
6604902,2004488993,Musée départemental d'Art Moderne,,Boulevard du Maréchal Joffre,66400,Céret,France,fr,open,42.4859058,2.7484863,,,,2014,47304,16148,01/02/2003,label:musee de france,
6618101,1874518307,Musée de Cerdagne,,Impasse de la Vigne,66800,Sainte-Léocadie,France,fr,open,42.4364819,2.0026983,,,,2014,2636,1327,01/02/2003,label:musee de france,
1927201,,Musée du Cloître de Tulle André Mazeyrie,,,,TULLE,France,fr,open,,,,,,2014,0,9278,01/02/2003,label:musee de france,
8708501,,Musée Municipal des Beaux-Arts de Limoges - Palais de l'Evêché,,,,LIMOGES,France,fr,open,,,,,,2014,2654,38347,18/07/2002,label:musee de france,
5427401,99542401,Musée de l'Histoire du Fer,,Avenue Général de Gaulle,54140,Jarville-la-Malgrange,France,fr,open,48.666507499999994,6.208713471590913,,,,2014,4007,7900,01/02/2003,label:musee de france,
5452801,1198779245,Musée d'Art et d'Histoire de Toul,25,Rue Gouvion Saint-Cyr,54200,Toul,France,fr,open,48.6784079,5.8911945,,,,2014,0,6658,01/02/2003,label:musee de france,
5535101,,Musée Jules Bastien-Lepage - Musée de la Fortification,,,,MONTMEDY,France,fr,open,,,,,,2014,12517,2776,01/02/2003,label:musee de france,
5550202,134231670,Musée de la Bière et du Pays de Stenay,17,Rue du Moulin,55700,Stenay,France,fr,open,49.488918999999996,5.186675922267025,,,,2014,7556,12332,24/02/2003,label:musee de france,
5753701,823312790,Musée de la Mine - Carreau Wendel,,Rue Saint-Charles,57540,Petite-Rosselle,France,fr,open,49.2039277,6.8630557,,,,2014,41228,7029,01/02/2003,label:musee de france,
5767201,,La Tour aux Puces - Musée du Pays Thionvillois,,,,THIONVILLE,France,fr,open,,,,,,2014,859,9220,01/02/2003,label:musee de france,
8816002,7012693985,Musée de l'Image,42,Quai de Dogneville,88000,Épinal,France,fr,open,48.1838682,6.446526,,,,2014,22282,4389,01/02/2003,label:musee de france,
0920701,3241536133,Musée de la Forge,,Rue du Rocher,09000,Foix,France,fr,open,42.9657002,1.6047597,,,,2014,30659,0,01/02/2003,label:musee de france,
1214501,187705210,Musée Municipal de Millau,,Rue de la Madeleine,12620,Saint-Beauzély,France,fr,open,44.164187,2.9579286798418973,,,,2014,8927,8052,01/02/2003,label:musee de france,
3210701,395394221,Musée de l'Armagnac,,Rue Jules Ferry,32100,Condom,France,fr,open,43.9587501,0.3720146,,,,2014,2545,423,01/02/2003,label:musee de france,
3211901,110292132,Musée Archéologique,,Rue Marpoy,32800,Eauze,France,fr,open,43.8609266,0.10142317069741685,,,,2014,7138,2112,01/02/2003,label:musee de france,
3147201,3509638044,Musée Archéologique Départemental,,Rue du Musée,31510,Saint-Bertrand-de-Comminges,France,fr,open,43.027071,0.569798,,,,2014,0,58249,01/02/2003,label:musee de france,
3155506,247081244,Musée du Vieux Toulouse,,Rue du May,31000,Toulouse,France,fr,open,43.6023148,1.4431296,,,,2014,5959,1072,01/02/2003,label:musee de france,
3155501,22718219,"Les Abattoirs, Musée d'Art Moderne et Contemporain",,Rue Antonin Mercié,31000,Toulouse,France,fr,open,43.6009417,1.4463433320120154,,,,2014,32325,80118,01/02/2003,label:musee de france,
3155502,261558997,Musée Saint-Raymond,1,Place Saint-Sernin,31000,Toulouse,France,fr,open,43.60783095,1.4411195508590957,,,,2014,22014,35577,01/02/2003,label:musee de france,
6505902,70833199,Musée Salies,,Place des Thermes,65200,Bagnères-de-Bigorre,France,fr,open,43.06271375,0.14619557596196836,,,,2014,2889,0,01/02/2003,label:musee de france,
6528601,4716535332,Musée Pyrénéen,25,Rue du Fort,65100,Lourdes,France,fr,open,43.096493,-0.0490182,,,,2014,66101,7708,01/02/2003,label:musee de france,
6544001,122325318,Musée Massey,,Rue Achille Jubinal,65000,Tarbes,France,fr,open,43.239067000000006,0.07528399186991735,,,,2014,4744,5674,06/10/2002,label:musee de france,
4613801,,Musée Murat,,,,CŒUR DE CAUSSE,France,fr,open,,,,,,2014,864,74,01/02/2003,label:musee de france,
4618201,,"""Musée Archéologique """"Armand-Viré""""""",,,,LUZECH,France,fr,open,,,,,,2014,245,596,01/02/2003,label:musee de france,
8106901,5168791210,Musée Charles Portal - Histoire et Patrimoine,,Rue Saint-Michel,81170,Cordes-sur-Ciel,France,fr,open,44.0637595,1.9490171,,,,2014,742,260,01/02/2003,label:musee de france,
8109902,60929966,Muséum d'histoire naturelle Philadelphe Thomas,,Rue Philadelphe Thomas,81600,Gaillac,France,fr,open,43.8993239,1.8943379,,,,2014,1076,3816,01/02/2003,label:musee de france,
8111501,,Musée Départemental du Textile,,,,LA-BASTIDE-ROUAIROUX,France,fr,open,,,,,,2014,2555,3568,01/02/2003,label:musee de france,
8200801,,Musée du Vieil Auvillar,,,,AUVILLAR,France,fr,open,,,,,,2014,2168,885,01/02/2003,label:musee de france,
5912201,6098585497,Musée Municipal de Cambrai,15,Rue de l'Épée,59400,Cambrai,France,fr,open,50.1734096,3.2299021,,,,2014,2784,10654,01/02/2003,label:musee de france,
5917201,,Musée d'Archéologie et d'Histoire Locale,,,,DENAIN,France,fr,open,,,,,,2014,0,4300,01/02/2003,label:musee de france,
5934501,,"Musée de la Mine, Centre Historique Minier",,,,LEWARDE,France,fr,open,,,,,,2014,142427,13256,01/02/2003,label:musee de france,
5935004,7818582178,Musée de l'Hospice Comtesse,,Rue de la Monnaie,59021,Lille,France,fr,open,50.6411688,3.0632054,,,,2014,29556,22200,01/02/2003,label:musee de france,
5935003,41065833,Musée d'Histoire Naturelle et de Géologie,19,Rue de Bruxelles,59000,Lille,France,fr,open,50.6266587,3.06701952992126,,,,2014,89675,0,01/02/2003,label:musee de france,
5939201,,Musée Henri Boez,,,,MAUBEUGE,France,fr,closed,,,,,,2014,0,0,01/02/2003,label:musee de france,
5959901,,MUba - Musée des Beaux-Arts Eugène Leroy de Tourcoing,,,,TOURCOING,France,fr,open,,,,,,2014,14319,12101,01/02/2003,label:musee de france,
